Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,558,650,551,428,2358,860,776,595,666,696,763,867
  └─ Profit from operations,1003,984,1004,1026,985,752,535,859,852,925,911,1006
  └─ Receivables,-159,-143,-33,-842,855,-156,-56,-19,83,-105,-112,-261
  └─ Inventory,-217,-205,-496,-112,561,291,80,-964,486,-262,-168,-37
  └─ Payables,101,161,218,613,-782,-94,142,783,-945,127,280,309
  └─ Loans Advances,-28,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-11,-28,-34,-128,576,98,89,-26,276,145,-51,7
  └─ Working capital changes,-314,-214,-346,-470,1211,139,255,-226,-99,-94,-51,19
  └─ Direct taxes,-131,-119,-107,-128,163,-30,-14,-38,-86,-134,-97,-158
Cash from Investing Activity,-587,-503,66,-353,-1306,-306,-81,-121,-135,-277,-493,-607
  └─ Fixed assets purchased,-562,-583,-446,-530,-649,-415,-116,-186,-204,-278,-535,-523
  └─ Fixed assets sold,58,60,15,75,690,18,27,39,34,25,52,37
  └─ Investments purchased,-3,0,0,0,-8,-25,0,-0,-20,-33,0,-120
  └─ Investments sold,0,-17,147,1,0,0,0,0,2,4,12,8
  └─ Interest received,29,40,24,21,26,26,9,6,15,4,5,5
  └─ Dividends received,1,1,1,0,0,0,0,2,0,2,1,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,0,33,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,0,0,-28,0,0
  └─ Other investing items,-110,-4,324,80,-1364,91,-1,17,4,28,-29,-14
Cash from Financing Activity,-48,-151,-621,-55,-1019,-575,-717,-439,-534,-419,-271,-228
  └─ Proceeds from shares,0,0,4,3,0,1,0,6,3,0,2,7
  └─ Proceeds from borrowings,405,127,2622,3020,3276,3103,664,272,11,397,246,264
  └─ Repayment of borrowings,0,158,-3515,-2753,-3899,-3348,-1117,-515,-361,-477,-196,-199
  └─ Interest paid fin,-398,-358,-289,-245,-319,-229,-233,-168,-153,-151,-149,-144
  └─ Dividends paid,-60,-65,-74,-81,-77,-62,0,-2,-4,-154,-130,-104
  └─ Financial liabilities,0,0,0,0,0,-39,-30,-32,-31,-34,-44,-52
  └─ Other financing items,4,-13,630,0,0,0,0,0,0,0,0,0
Net Cash Flow,-77,-3,-4,20,33,-20,-22,34,-3,1,-1,32
  └─ Free Cash Flow,54,127,120,-27,2399,464,687,448,496,443,280,381
  └─ CFO/OP,67%,79%,68%,81%,304%,126%,165%,76%,91%,94%,96%,102%
